review_id,review_score
7bc2406110b926393aa56f80a40eba40,4
80e641a11e56f04c1ad469d5645fdfde,5
228ce5500dc1d8e020d8d1322874b6f0,5
e64fb393e7b32834bb789ff8bb30750e,5
f7c4243c7fe1938f181bec41a392bdeb,5
15197aa66ff4d0650b5434f1b46cda19,1
07f9bee5d1b850860defd761afa7ff16,5
7c6400515c67679fbee952a7525281ef,5
a3f6f7f6f433de0aefbb97da197c554c,5
8670d52e15e00043ae7de4c01cc2fe06,4
c9cfd2d5ab5911836ababae136c3a10c,5
96052551d87e5f62e6c9f6974ec392e9,5
4b49719c8a200003f700d3d986ea1a19,4
23f75a37effc35d9a915b4e1ad483793,4
9a0abbb668bafb95a6d2b05db43284c4,3
3948b09f7c818e2d86c9a546758b2335,5
9314d6f9799f5bfba510cc7bcd468c01,2
8e15a274d95600fa14f8be64e37a0e67,5
fdbdb2629a7cde0f66657acc92084e7f,3
373cbeecea8286a2b66c97b1b157ec46,1
a2ff510ca4e059c3fefc7a7866571f6f,4
80c70bc263881ba6525f6cee1d94ac87,5
d21bbc789670eab777d27372ab9094cc,5
7bcb3c758c67f23638262c731493e848,5
0e0190b9db53b689b285d3f3916f8441,5
66e4430c5bc6b7e3773886bf1c14d912,5
bf566b3910c328733baf7fca7d2be041,4
fe3db7c069d694bab50cc43463f91608,5
e07eee7ad7666276bd8b27fbd83fd1ff,5
2c5e27fc178bde7ac173c9c62c31b070,1
540e7bbb2d06cfb7f85f3a88ba7ac97f,5
6a18a4001ae7fd911b3b9fb13686d105,5
58044bca115705a48fe0e00a21390c54,1
19a52a2297e5289ab4187d238d335982,5
c92cdd7dd544a01aa35137f901669cdf,4
c0f4c8301f8c29d6f53d239e194bb4c2,5
08c9d79ec0eba1d252e3f52f14b8e6a9,5
2170c9452c2216457b36003fe2969fbb,5
b193ff3c9f32a01f3a0d9ae26b94d244,5
9fd59cd04b42f600df9f25e54082a8d1,1
ab3056e4fb5a36df4b58c1746e4a6b8f,2
eb26c2bfb5030f57dcef30d3f111eb1e,1
caf7d6d68090fedf0f47b27aff4b4eaf,5
86c5cfa7fcbde303f704b60a78ced7d6,5
6f3eb43ec2f5092cf04c8d705864a8ac,5
3dc0777d97733a1d066f5b781e91577f,4
e363a3c172db72d6a8b82d0726cd2ddb,5
890ec1767be8eb104877db6d68eaade5,5
23f570a1b0db9566bee04521a0410c54,5
7d9ac3e98adc0c8ad579e6a2257d79f9,5
c41bd21983e298a240410ebb391bf075,5
e233e51d11511bf30e568c76360ace52,1
1a74d76543e1b419b48daebee364c281,5
1edd1a85161468a77e5fcb165be9b294,5
94c4db81ff5c234f53b54a15a8a41583,5
3d94fd645cdaacc8c9f0dc0a2a1f5166,5
cb6fe4f91f83d9222b7c8e14959055e1,3
45a523faa4defdf60118a90301b8a23e,3
6eab2c9b7ea4975a0b0357a4c464b356,4
500c05500aa275953129f49799ee5c73,5
399133d47ddc5f40df57c1ceba4e4540,5
6a0969d0769d2f3ff6438809a1cc455e,5
8a64945e89526e68bc16383391590232,5
ca7402594d96f3231ee1bbae27da1e29,5
c0dbf9a325d2a2fece43873be47191e1,4
9924ac6169f2edc95ca3394e529f9580,5
e12a8d938f3092e010627d001f91d137,5
109b5ce2dd11bb8460eff3b86da6fefc,5
6d06808638ec0701bccd70bc8d462c28,1
750d4311e8ddb6cba549ee86f06f0cca,5
951a3591f5bcc0b0c558461c9bf49d8e,3
77ed4f94b3638d1f0b0a2dd781c11a8c,5
2a3eba09af2fbcd3a20580e62e7b7465,4
8b230a1373c6dc4bd867099fda1d7039,3
4a1c0e7a111f33f2be53506db4887b1a,5
cb2fc3e5711b5ae85e0491ee18af63ed,3
60c714ed14cef913944a3147094a4742,1
b42460e68676135205af8b8c13baf6ae,5
505587fad6e7130f579fe9f02017ede4,4
c45811d9f90e22a81155b3a1e4a5c2e8,5
e29ab4a671400c41322e4855de633c6a,5
c577faa817a66c6f1492728435f53cd0,5
8c6537ae1519a3c0375e4fd45438344b,5
34e5d18f3bb64d586812f8f1d8b53097,4
5733e2aeeb52b99d044a2a3644e1305d,5
a34d2c4ace97245460e240e07db0212d,5
9bdb93e1339cdbc9bbfd95c5df00f82b,5
0bd4dcc4f6c4621baf37f73495cad8c4,3
888f11883ff85fa5c07e6ae1192d85c4,5
65dfeb60c40e3cbb0a1838285d86f885,1
50a1eaa2f96d6f3e02d0cd68d92bab75,5
1090909faae22e5ab76903e8493063f1,1
7b2d3a4794961271f9150b21fecfeed0,5
31b63ea961f9f43c21209d729d1c78e5,5
4d36f8266245b00faebc520e9cd963c0,2
71bc170a5ad41ee9dee95f82a17860a8,5
c5be8de5421e658a45042d6ca6a4ff64,5
0c8b57ea62de568f13a0e101d344977e,5
edfbad2944ea758725486c3bbcd04f49,3
bbf6c18e7c5a88b6adcb69af3b971207,5
436f71c9cc0c1aab7f51dc0cd0820516,5
a47baae36cb2d3f2d8ab6449aee69ee4,4
b83bcebb69cf373474b4cc3b10eb0bcc,4
97d4feff1fd7129bee6cde095b9dac2a,5
352609f0f2d34ce5d3b8de817ee948d5,3
28f275d52ccd8b6614b71430481450fd,5
d23ac17822a812782cf7f848b2a8b38b,1
